,Fragile States Index 2014,Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Status,Population (millions),Neighbors with Equal or Lesser Stability
1,South Sudan,113,9,10,10,7,9,9,10,10,10,10,10,10,Alert,12,65
2,Somalia,113,1,10,9,9,9,9,9,10,10,9,10,9,Alert,11,65
3,Central African Republic,111,7,10,9,7,9,8,9,10,9,10,10,10,Alert,5,65
4,Congo (D. R.),110,9,10,10,7,8,8,9,9,10,9,9,10,Alert,5,65
5,Sudan,110,10,10,10,9,8,8,9,9,9,10,10,10,Alert,40,65
6,Chad,109,4,10,8,8,9,8,9,10,9,9,10,8,Alert,13,65
7,Afghanistan,106,4,9,9,8,7,8,9,9,8,10,9,10,Alert,31,65
8,Yemen,105,3,9,9,7,8,9,9,8,9,9,9,8,Alert,26,65
9,Haiti,104,7,8,7,9,9,9,9,9,7,7,9,10,Alert,11,65
10,Pakistan,103,5,9,10,7,8,7,8,8,9,10,9,9,Alert,194,65
11,Zimbabwe,103,4,8,8,8,8,8,9,9,9,8,10,8,Alert,15,65
12,Guinea,103,8,8,8,7,8,9,10,9,8,9,10,7,Alert,12,65
13,Iraq,102,4,8,10,8,8,7,9,8,9,10,10,8,Alert,35,65
14,Cote d'Ivoire,102,7,9,9,7,8,7,9,9,9,9,9,9,Alert,21,65
15,Syria,102,10,10,10,7,7,7,10,7,10,10,10,9,Alert,22,65
16,Guinea Bissau,101,6,8,6,8,8,8,9,9,7,9,10,9,Alert,2,65
17,Nigeria,100,8,7,10,7,9,7,9,9,9,9,9,6,Alert,178,65
18,Kenya,99,4,8,9,8,8,8,8,8,7,8,9,8,Alert,43,65
19,Ethiopia,98,8,9,9,7,7,7,7,9,8,8,9,8,Alert,96,65
19,Niger,98,5,8,7,7,8,8,8,9,7,8,9,9,Alert,18,65
21,Burundi,97,6,9,8,6,7,9,8,9,8,7,8,8,Alert,11,65
22,Uganda,96,3,9,8,7,8,7,8,8,8,8,9,8,Alert,39,65
23,Eritrea,95,5,7,6,7,7,8,9,8,9,8,8,8,Alert,6,65
24,Liberia,94,5,9,6,7,8,8,7,9,6,7,8,10,Alert,4,65
24,Myanmar,94,10,8,9,5,8,7,9,8,8,8,9,7,Alert,54,65
26,North Korea,94,8,5,7,4,8,9,10,9,10,8,8,8,Alert,25,65
27,Cameroon,93,6,8,8,7,7,6,8,8,8,8,9,6,Alert,23,65
28,Mauritania,93,9,9,7,6,7,8,7,9,8,8,8,8,Alert,4,65
